Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_76'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_8'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_10'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_46'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_44'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_122'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_21'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_81'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_64'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_40'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_87'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_133'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_34'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_79'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_109'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_92'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_38'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_10'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_57'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_103'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_115'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_45'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_127'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_97'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_6'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_11'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_121'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NetworkOperation(clock=Clock(dt=100. * msecond, name='clock'), when=start, order=0, name='networkoperation_3'), Clock: Clock(dt=100. * msecond, name='clock'), dt: 100. ms
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_6'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_15'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_69'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_54'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_114'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_5'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_107'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_53'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_126'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_80'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_63'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NetworkOperation(clock=Clock(dt=100. * msecond, name='clock'), when=start, order=0, name='networkoperation'), Clock: Clock(dt=100. * msecond, name='clock'), dt: 100. ms
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_11'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_75'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_1'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_74'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_86'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_33'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_56'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_91'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_25'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_27'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_41'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_120'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_52'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_84'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_31'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_50'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_62'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_68'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_2'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_85'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_101'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
